container 1 cpu percentage,container 1 memory percentage,input container logs,input journal logs,input system logs,output processed logs,output dropped logs,output retried logs,agent restarts,container 2 cpu percentage,container 2 memory percentage,container 3 cpu percentage,container 3 memory percentage,input container logs bytes,input journal logs bytes,input system logs bytes,output processed bytes,status
0.515,2.08,12101,17126,744,29942,0,0,0,0.112,22.6,0.0767,10.1,7880756,13800988,116745,22503919,0
0.543,2.08,14026,17620,744,32399,0,0,0,0.111,22.6,0.0749,10.1,9206807,14416235,116814,24632324,0
0.555,2.08,14077,17883,744,32692,0,0,0,0.111,22.6,0.0755,10.1,9290264,14687635,116814,24952594,0
0.561,2.08,12774,17251,744,30788,0,0,0,0.112,22.6,0.0749,10.1,8483782,13962368,116814,23345063,0
0.53,2.08,10722,16279,744,27831,0,0,0,0.113,22.6,0.0721,10.1,7167953,12793072,116814,20776586,0
0.509,2.07,9618,15776,744,26156,0,0,0,0.112,22.6,0.0705,10.1,6481906,12135608,116814,19288705,0
0.511,2.07,10131,15284,744,26175,0,0,0,0.111,22.6,0.0681,10.1,6674584,11527677,116814,18994280,0
0.502,2.06,9431,15115,744,25274,0,0,0,0.11,22.6,0.0667,10.1,6139603,11302181,116745,18150781,0
0.491,2.07,9890,15212,744,25841,0,0,0,0.11,22.6,0.0658,10.1,6416880,11409568,116745,18593249,0
0.506,2.08,10887,15460,744,27092,0,0,0,0.11,22.6,0.0692,10.1,7058536,11678649,116745,19610722,0
0.504,2.08,11520,15620,744,27893,0,0,0,0.109,22.6,0.0686,10.1,7497618,11841715,116745,20273713,0
0.517,2.09,11801,15661,744,28187,0,0,0,0.108,22.6,0.0707,10.1,7657763,11920779,116745,20520206,0
0.528,2.09,11071,16198,748,27997,0,0,0,0.11,22.6,0.073,10.1,7353373,12533581,117437,20682164,0
0.529,2.09,11863,16334,748,28958,0,0,0,0.11,22.6,0.0733,10.1,7826594,12751937,117437,21489892,0
0.575,2.11,13953,20032,795,34764,0,0,0,0.11,22.6,0.075,10.1,9333349,17268011,124324,27374596,0
0.647,2.13,16560,26567,795,43923,0,0,0,0.111,22.6,0.0772,10.1,11506768,25602994,124324,37509074,0
0.638,2.14,16811,26906,795,44503,0,0,0,0.111,22.6,0.0745,10.1,11643056,26059623,124324,38099462,0
0.645,2.14,17070,27062,795,44944,0,0,0,0.111,22.6,0.0754,10.1,11816675,26233600,124324,38493204,0
0.645,2.14,16450,26874,791,44142,0,0,0,0.113,22.6,0.0732,10.1,11444148,25941974,123632,37789812,0
0.634,2.14,15117,26974,791,42881,0,0,0,0.113,22.6,0.0748,10.1,10652619,25886921,123771,36776913,0
0.627,2.15,12962,23519,744,37242,0,0,0,0.112,22.6,0.0771,10.1,9117566,21566672,116884,31032992,0
0.606,2.15,10961,18565,755,30285,0,0,0,0.112,22.6,0.0773,10.1,7394677,15073424,118548,23111589,0
0.532,2.14,10724,18478,755,29951,0,0,0,0.112,22.6,0.0775,10.1,7225953,14821416,118548,22677471,0
0.525,2.13,10289,18287,755,29304,0,0,0,0.111,22.6,0.0747,10.1,6944088,14510345,118548,22041661,0
0.525,2.13,10422,18279,755,29439,0,0,0,0.112,22.6,0.0734,10.1,6975807,14479671,118548,22081223,0
0.523,2.13,10614,18046,755,29423,0,0,0,0.111,22.6,0.0754,10.1,7079824,14255314,118409,22008932,0
0.511,2.13,9651,17431,755,27850,0,0,0,0.11,22.6,0.0752,10.1,6435980,13585178,118409,20641595,0
0.491,2.12,7389,15436,744,23568,0,0,0,0.112,22.6,0.0759,10.1,4882333,11229900,116745,16662287,0
0.45,2.11,6600,15164,752,22524,0,0,0,0.114,22.6,0.073,10.1,4409675,10937064,118134,15833633,0
0.439,2.09,6108,14980,752,21860,0,0,0,0.115,22.6,0.0715,10.1,4104337,10712575,118134,15274016,0
0.437,2.1,5674,14682,752,21116,0,0,0,0.115,22.6,0.0752,10.1,3806017,10325600,118134,14565143,0
0.43,2.09,4859,16691,754,22304,0,0,0,0.113,22.6,0.0767,10.1,3294641,11110301,118480,14864049,0
0.42,2.09,4935,16834,754,22504,0,0,0,0.114,22.6,0.0754,10.1,3342556,11201841,118480,14999619,0
0.439,2.1,5819,17290,754,23857,0,0,0,0.115,22.6,0.0731,10.1,3942929,11698353,118480,16158583,0
0.437,2.09,5829,17276,746,23850,0,0,0,0.114,22.6,0.0725,10.1,3953393,11689761,117091,16163531,0
0.441,2.09,5880,17147,746,23785,0,0,0,0.114,22.6,0.075,10.1,3969863,11618426,117091,16127697,0
0.454,2.09,6245,17404,746,24399,0,0,0,0.113,22.6,0.0748,10.1,4254367,11949596,117091,16742529,0
0.454,2.08,6822,15348,744,22926,0,0,0,0.113,22.6,0.0747,10.1,4634786,11090651,116745,16221615,0
0.45,2.08,7237,15524,744,23521,0,0,0,0.115,22.6,0.0726,10.1,4885460,11294474,116745,16715887,0
0.45,2.08,6235,15477,744,22452,0,0,0,0.115,22.6,0.0727,10.1,4210699,11133781,116745,15777441,0
0.454,2.08,8333,15257,744,24341,0,0,0,0.116,22.6,0.0734,10.1,5340432,10907407,116745,16978024,0
0.453,2.08,8013,15316,744,24082,0,0,0,0.117,22.6,0.073,10.1,5123834,10892105,116745,16716194,0
0.45,2.08,6918,15200,752,22876,0,0,0,0.117,22.6,0.0712,10.1,4419058,10692554,117942,15706591,0
0.432,2.08,6162,15250,752,22148,0,0,0,0.117,22.6,0.0705,10.1,3910089,10652754,117942,15069759,0
0.421,2.09,5437,14952,752,21140,0,0,0,0.117,22.6,0.071,10.1,3460025,10331184,117942,14245112,0
0.418,2.08,5771,14826,752,21360,0,0,0,0.115,22.6,0.0746,10,3668329,10258206,117939,14434775,0
0.429,2.09,4530,15238,752,20507,0,0,0,0.116,22.6,0.0743,10,3096249,10700331,117939,14080969,0
0.406,2.09,4538,15360,752,20629,0,0,0,0.115,22.6,0.0758,10.1,3113684,10859855,117939,14238997,0
0.417,2.1,5353,15261,744,21352,0,0,0,0.114,22.6,0.0738,10.1,3618365,10873691,116742,14850851,0
0.426,2.11,6128,15304,744,22173,0,0,0,0.113,22.6,0.0723,10.1,4133163,11042221,116742,15598988,0
0.505,2.13,11116,21115,1534,33775,0,0,0,0.112,22.6,0.0743,10.1,7911175,16710706,232525,25307039,0
0.558,2.14,13930,25020,1732,40691,0,0,0,0.114,22.6,0.0748,10.1,9866284,20468653,262392,31028931,0
0.553,2.14,13141,24855,1732,39731,0,0,0,0.115,22.6,0.0735,10.1,9333494,20264164,262392,30220416,0
0.539,2.14,13115,24685,1732,39529,0,0,0,0.114,22.6,0.0718,10.1,9304962,20089686,262392,30028085,0
0.541,2.14,12591,24572,1732,38886,0,0,0,0.113,22.6,0.0728,10.1,8956787,19920867,262392,29463066,0
0.529,2.12,11907,24208,1732,37855,0,0,0,0.111,22.6,0.0735,10.1,8501539,19486001,264894,28544406,0
0.524,2.12,7409,18667,942,26985,0,0,0,0.111,22.6,0.0767,10.1,5039493,14115465,149111,19461204,0
0.467,2.11,5456,15090,744,21275,0,0,0,0.11,22.6,0.0751,10.1,3691093,10743794,119247,14799556,0
0.419,2.09,5414,15112,744,21270,0,0,0,0.108,22.6,0.0708,10.1,3683641,10764311,119247,14817390,0
0.418,2.09,5612,15129,744,21492,0,0,0,0.107,22.6,0.0705,10.1,3803989,10788961,119247,14986503,0
0.43,2.09,6061,15399,744,22182,0,0,0,0.106,22.6,0.0741,10.1,4130322,11064276,119243,15592238,0
0.439,2.09,6886,15893,744,23518,0,0,0,0.107,22.6,0.0718,10.1,4673585,11602262,116741,16740072,0
0.442,2.09,6672,15763,744,23195,0,0,0,0.107,22.6,0.0732,10.1,4543390,11468885,116741,16479917,0
0.436,2.1,5379,15353,744,21476,0,0,0,0.108,22.6,0.0709,10.1,3673243,10992387,116741,15023447,0
0.412,2.09,5096,15214,744,21064,0,0,0,0.109,22.6,0.0717,10.1,3484130,10874018,116741,14691704,0
0.406,2.09,4676,15200,744,20623,0,0,0,0.108,22.6,0.0751,10.1,3234412,10835573,116741,14353273,0
0.401,2.08,3791,14940,744,19496,0,0,0,0.11,22.6,0.075,10.1,2657633,10558306,116745,13439936,0
0.383,2.08,2721,14575,744,18043,0,0,0,0.111,22.6,0.0749,10.1,1961769,10133193,116745,12215747,0
0.373,2.08,2646,14609,744,17954,0,0,0,0.111,22.6,0.0741,10.1,1892541,10068193,116745,12065551,0
0.407,2.08,4267,16736,744,21730,0,0,0,0.111,22.6,0.0755,10.1,2947456,11359445,116745,14649997,0
0.424,2.08,5333,17565,871,23759,0,0,0,0.111,22.6,0.0783,10.1,3658927,12104192,135323,16217781,0
0.43,2.09,5795,17666,871,24330,0,0,0,0.11,22.6,0.0793,10.1,3959002,12255555,135323,16706285,0
0.444,2.08,6634,17927,871,25433,0,0,0,0.111,22.6,0.0779,10.1,4485828,12583430,135307,17629742,0
0.47,2.08,8356,18233,871,27443,0,0,0,0.111,22.6,0.0758,10.1,5574654,12990952,135197,19277768,0
0.507,2.09,9642,21075,918,31662,0,0,0,0.11,22.6,0.0738,10.1,6780145,16140004,141980,23502521,0
0.513,2.1,8235,19234,918,28410,0,0,0,0.109,22.6,0.0774,10.1,5890282,15180384,141900,21436043,0
0.481,2.09,7365,19327,791,27478,0,0,0,0.11,22.6,0.0762,10.1,5364267,15409369,123276,20970068,0
0.467,2.09,7160,19708,791,27657,0,0,0,0.11,22.6,0.0761,10.1,5286113,15840710,123232,21277536,0
0.47,2.09,6829,19669,791,27296,0,0,0,0.111,22.6,0.0742,10.1,5060407,15769713,123197,20959649,0
0.455,2.09,5072,19420,791,25298,0,0,0,0.111,22.6,0.0741,10.1,3953169,15415602,123394,19331730,0
0.431,2.1,3586,16620,752,20975,0,0,0,0.11,22.6,0.0759,10,2617720,12406587,117881,15096705,0
0.407,2.09,3716,16587,757,21047,0,0,0,0.11,22.6,0.0785,10,2668174,12302777,118731,15045619,0
0.412,2.09,4306,16110,757,21168,0,0,0,0.111,22.6,0.075,10,3029209,11812396,118731,15012712,0
0.407,2.08,4185,15741,757,20674,0,0,0,0.111,22.6,0.0728,10,2900143,11320069,118731,14418611,0
0.409,2.08,4179,15784,757,20682,0,0,0,0.112,22.6,0.0727,10,2916186,11356326,118728,14438572,0
0.418,2.09,5344,16158,757,22239,0,0,0,0.112,22.6,0.0734,10,3675320,11784297,118590,15741747,0
0.432,2.1,5990,16426,749,23141,0,0,0,0.112,22.6,0.0748,10.1,4091049,12078977,117276,16493955,0
0.439,2.1,5870,16420,744,23005,0,0,0,0.112,22.6,0.0779,10.1,3987400,12101818,116455,16388318,0
0.429,2.1,5037,16229,744,22017,0,0,0,0.112,22.6,0.075,10.1,3400143,11963097,116455,15628497,0
0.421,2.1,5121,16468,744,22343,0,0,0,0.113,22.6,0.0755,10.1,3437931,12329934,116455,16024351,0
0.42,2.1,4683,16475,744,21924,0,0,0,0.112,22.6,0.0755,10.1,3175660,12300452,116458,15702990,0
0.41,2.1,3666,16050,744,20472,0,0,0,0.112,22.6,0.0755,10.1,2507571,11826736,116458,14473332,0
0.395,2.1,3107,15787,744,19650,0,0,0,0.113,22.6,0.0771,10.1,2154065,11539042,116458,13795243,0
0.401,2.09,3755,15707,744,20224,0,0,0,0.113,22.6,0.0772,10.1,2602297,11507000,116458,14285595,0
0.413,2.09,5056,15904,744,21691,0,0,0,0.111,22.6,0.0747,10.1,3454382,11659721,116458,15388344,0
0.424,2.09,5523,15789,744,22045,0,0,0,0.112,22.6,0.0734,10.1,3789765,11485145,116458,15601044,0
0.436,2.09,6470,15934,744,23147,0,0,0,0.113,22.6,0.0725,10.1,4399842,11704539,116458,16517607,0
0.461,2.1,8133,16563,744,25420,0,0,0,0.114,22.6,0.0746,10.1,5446328,12415794,116458,18393641,0
0.492,2.1,9910,17191,744,27861,0,0,0,0.114,22.6,0.0725,10.1,6638240,13173812,116458,20508664,0
0.499,2.11,9389,17194,744,27343,0,0,0,0.112,22.6,0.0728,10.2,6310922,13170035,116458,20118673,0
0.484,2.11,8289,17002,744,26046,0,0,0,0.113,22.6,0.0708,10.1,5599318,12917435,116458,19044956,0
0.464,2.1,7723,16947,744,25421,0,0,0,0.114,22.6,0.0709,10.1,5213245,12868694,116480,18547939,0
0.459,2.1,7070,16702,744,24527,0,0,0,0.112,22.6,0.0743,10.1,4752136,12578004,116531,17756199,0
0.44,2.1,5343,16065,744,22169,0,0,0,0.113,22.6,0.0732,10.1,3671094,11854450,116697,15815309,0
0.417,2.1,3582,15368,744,19686,0,0,0,0.112,22.6,0.073,10.1,2489000,11028363,116741,13657541,0
0.403,2.09,4008,15347,757,20099,0,0,0,0.111,22.6,0.0736,10.1,2785558,11016859,118931,13986608,0
0.396,2.09,3986,15408,757,20142,0,0,0,0.112,22.6,0.0711,10.1,2794381,11054333,118977,14034276,0
0.394,2.09,3934,15384,757,20024,0,0,0,0.111,22.6,0.0727,10.1,2766635,10976786,118999,13894554,0
0.4,2.09,3907,15563,757,20225,0,0,0,0.111,22.6,0.0703,10.1,2808960,11132635,118996,14117236,0
0.409,2.09,4926,15658,757,21315,0,0,0,0.111,22.6,0.0691,10.1,3451457,11321205,118881,15033328,0
0.422,2.09,5516,15909,757,22191,0,0,0,0.11,22.6,0.0726,10.1,3845643,11595125,118881,15764529,0
0.425,2.1,4798,15886,744,21444,0,0,0,0.111,22.6,0.0731,10.1,3361159,11518216,116742,15139561,0
0.476,2.11,18088,17907,781,36772,0,0,0,0.11,22.6,0.0749,10.1,11460729,13999019,122083,27099153,0
0.471,2.12,18007,17746,781,36569,0,0,0,0.111,22.6,0.0748,10.1,11417019,13888607,122083,26971933,0
0.47,2.12,17615,17656,781,36025,0,0,0,0.111,22.6,0.074,10.1,11136253,13806988,122086,26510647,0
0.465,2.13,16624,17725,781,35159,0,0,0,0.111,22.6,0.0774,10.1,10499280,13787295,122602,25789189,0
0.447,2.13,15706,17356,781,33840,0,0,0,0.111,22.6,0.0751,10.1,9918337,13382603,122602,24712458,0
0.446,2.13,16014,17392,781,34171,0,0,0,0.112,22.6,0.073,10.1,10100195,13467557,122599,24994849,0
0.458,2.12,3494,15634,744,19879,0,0,0,0.11,22.6,0.0702,10.1,2503149,11290418,117258,13902486,0
0.397,2.11,3891,15966,744,20592,0,0,0,0.111,22.6,0.0703,10.1,2746818,11584109,117258,14457596,0
0.417,2.12,5022,16087,744,21836,0,0,0,0.11,22.6,0.0726,10.1,3478103,11744175,117258,15462791,0
0.43,2.12,5807,16334,744,22882,0,0,0,0.109,22.6,0.0735,10.1,4004390,12071281,116811,16381237,0
0.431,2.11,6012,16519,744,23267,0,0,0,0.111,22.6,0.0713,10.1,4136218,12252560,116811,16702638,0
0.434,2.11,5487,16323,744,22564,0,0,0,0.111,22.6,0.0743,10.1,3815628,12024957,116814,16122136,0
0.422,2.11,4425,16066,744,21226,0,0,0,0.111,22.6,0.0723,10.1,3095826,11707798,116814,14983104,0
0.405,2.11,4068,15954,744,20773,0,0,0,0.11,22.6,0.0722,10.1,2865562,11544688,116814,14580001,0
0.407,2.1,3292,16015,744,20087,0,0,0,0.11,22.6,0.0701,10.1,2348893,11555288,116818,14012866,0
0.389,2.1,2392,15819,744,18947,0,0,0,0.111,22.6,0.0695,10.1,1761362,11274313,116749,13034447,0
0.38,2.1,2566,15871,744,19173,0,0,0,0.11,22.6,0.0663,10.1,1856026,11336697,116749,13204856,0
0.395,2.11,3470,16146,744,20356,0,0,0,0.109,22.6,0.0684,10.1,2471695,11653348,116749,14217070,0
0.394,2.1,3613,16037,744,20397,0,0,0,0.109,22.6,0.0666,10.1,2589862,11564066,116749,14268076,0
0.399,2.1,3868,16043,744,20663,0,0,0,0.111,22.6,0.0702,10.1,2745532,11627714,116749,14511295,0
0.407,2.1,4019,15987,744,20747,0,0,0,0.11,22.6,0.0723,10.1,2833790,11591217,116745,14575707,0
0.415,2.12,4934,16272,744,21948,0,0,0,0.111,22.6,0.0704,10.1,3453456,11915142,116745,15598004,0
0.426,2.12,5410,16239,744,22406,0,0,0,0.111,22.6,0.0663,10.1,3757505,11905599,116745,15959355,0
0.425,2.12,4577,16185,744,21502,0,0,0,0.112,22.6,0.0661,10.1,3205160,11778448,116741,15190921,0
0.408,2.12,4554,16065,744,21358,0,0,0,0.111,22.6,0.0606,10.1,3158527,11698875,116741,15065023,0
0.406,2.13,4234,16016,744,20998,0,0,0,0.111,22.6,0.0613,10.1,2969955,11640079,116741,14786914,0
0.402,2.13,3707,15880,744,20345,0,0,0,0.109,22.7,0.0595,10.1,2661205,11512959,116737,14300931,0
0.394,2.12,3054,15430,744,19227,0,0,0,0.111,22.7,0.0582,10.1,2181686,11052094,116737,13317751,0
0.392,2.1,3112,15512,744,19354,0,0,0,0.111,22.7,0.0619,10.1,2210624,11141874,116737,13424218,0
0.419,2.1,5396,16184,744,22295,0,0,0,0.11,22.7,0.0684,10.1,3675214,12026919,116741,15949039,0
0.451,2.11,7674,17282,744,25700,0,0,0,0.109,22.7,0.0701,10.1,5162103,13247877,116741,18840621,0
0.481,2.11,9628,17964,744,28305,0,0,0,0.111,22.7,0.0709,10.1,6439733,14121547,116741,21122527,0
0.51,2.12,11604,18252,744,30574,0,0,0,0.11,22.7,0.0731,10.1,7690265,14506085,116742,22959409,0
0.538,2.12,13252,18780,744,32774,0,0,0,0.111,22.7,0.0767,10.1,8837861,15129537,116742,24871552,0
0.548,2.13,13235,18792,744,32774,0,0,0,0.111,22.7,0.0769,10.1,8859868,15127841,116742,24895081,0
0.546,2.13,11416,18127,744,30298,0,0,0,0.111,22.7,0.0784,10.1,7680159,14294335,116739,22747724,0
0.512,2.12,9476,17108,744,27331,0,0,0,0.11,22.7,0.0726,10.1,6413167,13150092,116739,20200416,0
0.482,2.11,7927,16428,744,25116,0,0,0,0.111,22.7,0.0735,10.1,5401962,12273993,116739,18216501,0
0.467,2.12,6939,16235,744,23924,0,0,0,0.113,22.7,0.0784,10.1,4772365,11986521,116742,17200648,0
0.448,2.11,5606,15804,744,22165,0,0,0,0.113,22.7,0.0766,10.1,3887996,11488704,116742,15707961,0
0.434,2.11,5766,15811,744,22298,0,0,0,0.113,22.7,0.077,10.1,3974646,11469762,116742,15763623,0
0.45,2.11,6900,16009,744,23666,0,0,0,0.113,22.7,0.0753,10.1,4748699,11743446,116745,16940313,0
0.452,2.12,7328,16310,744,24371,0,0,0,0.113,22.7,0.0737,10.1,5044643,12072548,116745,17570766,0
0.465,2.13,7944,16909,744,25571,0,0,0,0.114,22.7,0.0775,10.1,5422001,12718942,116745,18608442,0
0.493,2.13,9262,17358,748,27363,0,0,0,0.114,22.7,0.0776,10.1,6233236,13255890,117437,20097965,0
0.513,2.13,11207,18056,748,29991,0,0,0,0.111,22.7,0.0745,10.1,7456780,14069013,117437,22295587,0
0.536,2.13,12515,18584,748,31867,0,0,0,0.112,22.7,0.0744,10.1,8232465,14704820,117437,23847819,0
0.55,2.14,12552,18975,748,32258,0,0,0,0.111,22.7,0.0723,10.1,8175481,15057373,117437,24099661,0
0.544,2.13,12978,19264,748,32976,0,0,0,0.113,22.7,0.0729,10.1,8438330,15499752,117437,24834538,0
0.55,2.13,13163,19056,748,33004,0,0,0,0.113,22.7,0.0724,10.1,8578946,15285551,117437,24839489,0
0.556,2.12,12296,19092,744,32152,0,0,0,0.112,22.7,0.0726,10.1,8094476,15434777,116745,24364270,0
0.536,2.13,10821,18496,744,30071,0,0,0,0.111,22.7,0.0717,10.1,7151982,14776158,116745,22634686,0
0.517,2.12,9525,18231,744,28487,0,0,0,0.112,22.7,0.0735,10.1,6381367,14422212,116745,21367784,0
0.512,2.12,9467,18021,744,28209,0,0,0,0.112,22.7,0.0758,10.1,6427219,14262344,116745,21238605,0
0.491,2.11,8685,17537,744,26985,0,0,0,0.112,22.7,0.0758,10.1,5928633,13578305,116745,20042612,0
0.474,2.1,7891,17111,744,25743,0,0,0,0.111,22.7,0.077,10.1,5393768,13116083,116745,18967733,0
0.497,2.11,8471,18687,744,27888,0,0,0,0.111,22.7,0.0756,10.1,6018863,14532946,116749,20918530,0
0.511,2.12,9482,20564,744,30702,0,0,0,0.113,22.7,0.0749,10.1,6728360,16712455,116749,23668863,0
0.52,2.12,9784,21127,744,31666,0,0,0,0.114,22.7,0.0748,10.1,7000045,17479179,116749,24762902,0
0.521,2.12,8879,20609,744,30271,0,0,0,0.114,22.7,0.0755,10.1,6393349,16892932,116749,23533941,0
0.505,2.12,9064,20509,744,30313,0,0,0,0.114,22.7,0.0745,10.1,6549290,16816452,116749,23593064,0
0.51,2.13,9290,20481,744,30500,0,0,0,0.113,22.7,0.0711,10.1,6757104,16791033,116749,23784820,0
0.521,2.14,8489,18276,744,27496,0,0,0,0.114,22.7,0.0718,10.1,5927703,14572343,116745,20853985,0
0.503,2.13,7077,18560,746,26461,0,0,0,0.113,22.7,0.0724,10.1,4994454,13332579,117091,18881481,0
0.482,2.12,6697,18009,746,25445,0,0,0,0.112,22.7,0.0729,10.1,4737389,12599872,117091,17825136,0
0.49,2.12,7621,18767,746,27110,0,0,0,0.112,22.7,0.0758,10.1,5396047,13470993,117091,19379332,0
0.482,2.12,7574,18916,746,27237,0,0,0,0.112,22.7,0.0731,10.1,5376449,13586510,117091,19490043,0
0.48,2.12,7497,18968,746,27211,0,0,0,0.112,22.7,0.0735,10.1,5313663,13692047,117091,19520140,0
0.492,2.12,7754,19266,746,27758,0,0,0,0.113,22.7,0.0771,10.1,5548459,14065483,117091,20131091,0
0.497,2.12,8442,17603,744,26782,0,0,0,0.113,22.7,0.0756,10.1,6006022,13646522,116745,20108834,0
0.503,2.13,8868,18800,744,28415,0,0,0,0.115,22.7,0.0752,10.1,6386120,15142959,116745,21916859,0
0.508,2.13,8106,19116,744,27884,0,0,0,0.114,22.7,0.0736,10.1,5902965,15573272,116742,21640952,0
0.49,2.12,8074,19551,744,28362,0,0,0,0.116,22.7,0.0727,10.1,5950269,16148159,116742,22299061,0
0.484,2.12,7728,19568,744,28054,0,0,0,0.116,22.7,0.0725,10.2,5730634,16107516,116742,22026306,0
0.482,2.13,6590,19437,752,26798,0,0,0,0.115,22.7,0.0725,10.2,4968291,15859317,117936,20908849,0
0.458,2.12,5392,18642,752,24803,0,0,0,0.115,22.7,0.0712,10.2,4132761,14960319,117936,19109860,0
0.436,2.11,4152,16886,752,21792,0,0,0,0.114,22.7,0.0708,10.2,3174663,12894395,117936,16105641,0
0.421,2.1,4023,15854,752,20726,0,0,0,0.112,22.7,0.071,10.2,2985595,11661809,117939,14881114,0
0.413,2.09,4442,15513,752,20717,0,0,0,0.112,22.7,0.0721,10.2,3180023,11210830,117939,14613106,0
0.405,2.1,4488,15441,752,20666,0,0,0,0.111,22.7,0.0711,10.2,3159046,11140745,117939,14511912,0
0.417,2.1,5240,15491,744,21467,0,0,0,0.11,22.7,0.0745,10.2,3642228,11236936,116721,15169159,0
0.426,2.09,6124,16066,744,22922,0,0,0,0.111,22.7,0.0707,10.2,4190339,11844027,116611,16376318,0
0.429,2.1,6222,16219,748,23174,0,0,0,0.11,22.7,0.0722,10.2,4265754,11973015,117254,16587324,0
0.459,2.12,7088,18167,968,26227,0,0,0,0.11,22.7,0.075,10.2,5036227,13790326,149335,19187205,0
0.461,2.13,7102,19521,1023,27649,0,0,0,0.11,22.7,0.0767,10.2,5054030,15048918,157575,20370169,0
0.444,2.14,6730,19392,1023,27158,0,0,0,0.11,22.7,0.0759,10.1,4829395,14902253,157531,19979397,0
0.445,2.14,6017,19116,1023,26180,0,0,0,0.11,22.7,0.073,10.1,4344839,14569348,157504,19120197,0
0.431,2.14,5111,18854,1023,24986,0,0,0,0.111,22.7,0.0711,10.1,3837247,14228654,158257,18177147,0
0.424,2.15,5423,19009,1019,25464,0,0,0,0.11,22.7,0.0746,10.1,4000844,14388543,157570,18532578,0
0.439,2.16,4786,17302,799,22869,0,0,0,0.11,22.7,0.0765,10.1,3423511,12771872,125438,16332885,0
0.411,2.15,3931,15761,744,20427,0,0,0,0.11,22.7,0.0753,10,2816406,11276284,117152,14259526,0
0.4,2.15,4416,15963,744,21099,0,0,0,0.11,22.7,0.0739,10,3125091,11489363,117152,14807857,0
0.421,2.15,5172,16170,744,22055,0,0,0,0.11,22.7,0.0744,10.1,3602455,11743650,117152,15603479,0
0.43,2.15,5953,16132,744,22840,0,0,0,0.11,22.7,0.0787,10.1,4070769,11803404,116458,16239066,0
0.433,2.16,5795,15889,744,22438,0,0,0,0.11,22.7,0.0794,10.1,3984614,11577668,116458,15921685,0
0.43,2.15,4992,15660,744,21414,0,0,0,0.11,22.7,0.0798,10.1,3439161,11334500,116458,15064010,0
0.415,2.15,5095,15696,744,21541,0,0,0,0.111,22.7,0.0762,10.1,3510160,11408591,116458,15197706,0
0.416,2.15,4814,15789,744,21354,0,0,0,0.111,22.7,0.0748,10.1,3326312,11425880,116458,15009593,0
0.415,2.16,3994,15758,744,20521,0,0,0,0.112,22.7,0.0763,10.1,2843320,11349374,116458,14365420,0
0.397,2.16,3206,15435,744,19388,0,0,0,0.113,22.7,0.077,10.1,2320733,10971263,116458,13393697,0
0.389,2.15,3303,15479,744,19519,0,0,0,0.112,22.7,0.0753,10.1,2396394,10996910,116458,13501369,0
0.403,2.15,4084,15827,744,20609,0,0,0,0.112,22.7,0.0759,10.1,2935257,11306047,116458,14405144,0
0.412,2.15,4061,17945,744,22737,0,0,0,0.112,22.7,0.0746,10.1,2921926,12378450,116458,15557120,0
0.417,2.14,4365,18044,744,23154,0,0,0,0.111,22.7,0.0764,10.1,3110707,12436364,116458,15849496,0
0.431,2.14,5054,18181,744,23950,0,0,0,0.11,22.7,0.0773,10.1,3520234,12553053,116458,16434276,0
0.436,2.14,5676,18806,744,25223,0,0,0,0.111,22.7,0.0752,10.1,3910136,13140812,116458,17477528,0
0.439,2.14,5369,18951,744,25051,0,0,0,0.11,22.7,0.0718,10.1,3723173,13230918,116458,17337708,0
0.436,2.14,4468,18657,744,23912,0,0,0,0.11,22.7,0.0733,10.1,3097860,12913440,116458,16353069,0
0.418,2.14,4240,16696,744,21694,0,0,0,0.112,22.7,0.0727,10.1,2946006,11966607,116458,15138449,0
0.407,2.14,3957,16630,744,21339,0,0,0,0.112,22.7,0.0719,10.1,2873498,12073405,116466,15107841,0
0.411,2.14,3560,16867,744,21195,0,0,0,0.112,22.7,0.0694,10.1,2687319,12421700,116517,15198991,0
0.405,2.14,3262,17403,744,21406,0,0,0,0.113,22.7,0.0677,10.2,2538620,13125136,116567,15625997,0
0.401,2.14,3521,17429,744,21708,0,0,0,0.111,22.7,0.07,10.2,2657957,13163012,116611,15827030,0
0.416,2.14,4469,17618,744,22840,0,0,0,0.112,22.7,0.074,10.2,3285949,13429332,116662,16794282,0
0.415,2.15,4552,17546,744,22837,0,0,0,0.112,22.7,0.0741,10.2,3361243,13352399,116708,16791210,0
0.415,2.15,4506,17464,744,22715,0,0,0,0.111,22.7,0.0728,10.2,3233891,13230567,116744,16547796,0
0.419,2.15,4455,16889,744,22085,0,0,0,0.111,22.7,0.0745,10.2,3155258,12607046,116740,15887379,0
0.423,2.15,5056,16132,744,21931,0,0,0,0.111,22.7,0.0747,10.2,3484257,11762325,116741,15510796,0
0.421,2.15,5322,16049,744,22111,0,0,0,0.112,22.7,0.078,10.2,3676431,11756373,116741,15712962,0
0.419,2.15,4414,15914,744,21066,0,0,0,0.113,22.7,0.0785,10.2,3064420,11573090,116741,14830597,0
0.404,2.14,4375,16098,744,21214,0,0,0,0.112,22.7,0.0782,10.2,3011641,11864912,116741,15061332,0
0.403,2.14,4336,15974,744,21052,0,0,0,0.113,22.7,0.0782,10.2,3002408,11698149,116741,14898858,0
0.404,2.14,3829,16417,744,20990,0,0,0,0.111,22.7,0.077,10.2,2673316,12206804,116745,15000023,0
